"EJs","Cluster","Eixo","Media"
"Agrosertão","1","MN",1
"Agrosertão","2","MN",1.5
"Agrosertão","3","MN",2.5
"Agrosertão","4","MN",2
"Agrosertão","5","MN",2
"Easy Jr.","1","MN",3
"Easy Jr.","2","MN",2
"Easy Jr.","3","MN",3.5
"Easy Jr.","4","MN",2
"Easy Jr.","5","MN",2.5
"EdificarSe","1","MN",1.5
"EdificarSe","2","MN",2
"EdificarSe","3","MN",2
"EdificarSe","4","MN",3
"EdificarSe","5","MN",2
"EJAUFS","1","MN",3.5
"EJAUFS","2","MN",3.5
"EJAUFS","3","MN",2
"EJAUFS","4","MN",0
"EJAUFS","5","MN",3
"Empreeng","1","MN",1.5
"Empreeng","2","MN",3
"Empreeng","3","MN",1
"Empreeng","4","MN",2
"Empreeng","5","MN",4
"Excelência","1","MN",0.5
"Excelência","2","MN",2
"Excelência","3","MN",2.5
"Excelência","4","MN",3.5
"Excelência","5","MN",2.5
"ProdUP","1","MN",0.5
"ProdUP","2","MN",2.5
"ProdUP","3","MN",4
"ProdUP","4","MN",2
"ProdUP","5","MN",4
"QuimTec","1","MN",3.5
"QuimTec","2","MN",0.5
"QuimTec","3","MN",2
"QuimTec","4","MN",4
"QuimTec","5","MN",2
"Reina","1","MN",2.5
"Reina","2","MN",2.5
"Reina","3","MN",2
"Reina","4","MN",3
"Reina","5","MN",1.5
"SERCIVIL","1","MN",2
"SERCIVIL","2","MN",0
"SERCIVIL","3","MN",1.5
"SERCIVIL","4","MN",2
"SERCIVIL","5","MN",2.5
"STARTEQ","1","MN",0
"STARTEQ","2","MN",2
"STARTEQ","3","MN",2
"STARTEQ","4","MN",2.5
"STARTEQ","5","MN",2.5
"Terra Rara","1","MN",3
"Terra Rara","2","MN",0.5
"Terra Rara","3","MN",3.5
"Terra Rara","4","MN",2
"Terra Rara","5","MN",3
