EJs,TC_4_2 (85.32%),TC_1_3 (85.17%),TC_5_2 (84.11%),MN_3_2 (82.04%),TC_3_3 (75.93%),TC_4_3 (67.64%),MN_3_1 (66.65%),TC_2_3 (66.63%),TC_1_1 (66.06%)
(97.8%) ProdUP,5.56,1.85,5.56,7.41,3.70,0.00,3.70,1.85,5.56
(70.9%) Excelência,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63
(70.1%) Terra Rara,4.11,2.74,2.74,1.37,2.74,2.74,1.37,0.00,5.48
(62.7%) Empreeng,2.60,2.60,3.90,1.30,3.90,1.30,2.60,0.00,2.60
(62.2%) STARTEQ,4.62,3.08,4.62,1.54,1.54,4.62,4.62,1.54,1.54
(60.2%) Easy Jr.,1.96,1.96,0.00,0.00,5.88,3.92,1.96,1.96,3.92
(55.8%) Agrosertão,2.17,2.17,2.17,2.17,2.17,2.17,3.26,2.17,2.17
(49.7%) QuimTec,1.63,1.63,1.63,1.63,2.44,2.44,2.44,1.63,2.44
(35.5%) EdificarSe,1.35,1.35,2.70,1.35,2.70,1.35,2.70,1.35,2.70
(26.4%) EJAUFS,2.67,0.00,1.33,1.33,1.33,0.00,2.67,1.33,1.33
(16.6%) SERCIVIL,0.00,0.00,3.57,0.00,3.57,0.00,0.00,0.00,10.71
(1.6%) Reina,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.00,1.59
