EJs,Fragilidade da Cultura,Inefetividade do Processo de Vendas,Dificuldade de Inovar,Dificuldade em Gerir Projetos,Deficiência em Alavancagem
Excelência,70.9%,55.1%,49.5%,69.1%,38.9%
QuimTec,49.7%,70.8%,45.3%,35.9%,38.1%
Empreeng,62.7%,74.6%,19.6%,70.0%,7.9%
Terra Rara,70.1%,81.1%,3.9%,16.1%,78.4%
STARTEQ,62.2%,86.0%,6.9%,22.9%,12.1%
Easy Jr.,60.2%,24.1%,71.3%,42.3%,87.3%
Reina,1.6%,77.8%,94.0%,18.5%,29.8%
SERCIVIL,16.6%,12.6%,37.5%,99.7%,98.4%
EJAUFS,26.4%,74.9%,74.1%,62.7%,51.6%
ProdUP,97.8%,1.5%,71.1%,50.1%,69.4%
Agrosertão,55.8%,55.6%,52.4%,43.0%,29.8%
EdificarSe,35.5%,19.7%,88.0%,24.3%,34.8%
